trials,json_valid_rate,plan_compliant_rate,avg_tool_compliance,manual_labeled,manual_success_rate,manual_success_k,model,task,file
22,1.0,0.45454545454545453,0.45454545454545453,22,0.45454545454545453,10,deepseekr1,Task A,logs/task-A/deepseekr1-taskA-robot_trials.jsonl
24,1.0,1.0,1.0,24,1.0,24,qwen3,Task A,logs/task-A/qwen3-taskA-robot_trials.jsonl
24,1.0,0.5,0.5,24,0.5,12,smollm2,Task A,logs/task-A/smollm2-taskA-robot_trials.jsonl
24,1.0,0.20833333333333334,0.25,24,0.20833333333333334,5,deepseekr1,Task B,logs/task-B/deepseekr1-taskB-robot_trials.jsonl
24,1.0,1.0,1.0,24,0.9166666666666666,22,qwen3,Task B,logs/task-B/qwen3-taskB-robot_trials.jsonl
24,1.0,0.5416666666666666,0.5833333333333333,24,0.25,6,smollm2,Task B,logs/task-B/smollm2-taskB-robot_trials.jsonl
24,1.0,0.75,0.7708333333333334,24,0.4166666666666667,10,deepseekr1,Task C,logs/task-C/deepseekr1-taskC-robot_trials.jsonl
24,1.0,0.875,0.9444444444444443,24,0.625,15,qwen3,Task C,logs/task-C/qwen3-taskC-robot_trials.jsonl
24,1.0,0.2916666666666667,0.34027777777777773,24,0.20833333333333334,5,smollm2,Task C,logs/task-C/smollm2-taskC-robot_trials.jsonl
24,1.0,0.25,0.513888888888889,24,0.0,0,deepseekr1,Task D,logs/task-D/deepseekr1-taskD-robot_trials.jsonl
24,1.0,0.9583333333333334,0.9895833333333334,24,0.5,12,qwen3,Task D,logs/task-D/qwen3-taskD-robot_trials.jsonl
24,1.0,0.08333333333333333,0.13888888888888887,24,0.0,0,smollm2,Task D,logs/task-D/smollm2-taskD-robot_trials.jsonl
